;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes
1150;Captain Marvel;The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.;2019;PG-13;124;['scifi', 'action'];['US'];6.8;521093.0
1153;The Lion King;Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.;2019;PG;118;['drama', 'comedy', 'animation', 'family'];['US'];6.8;237523.0
1154;Onward;In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.;2020;PG;103;['fantasy', 'animation', 'comedy', 'drama', 'family'];['US'];7.4;141297.0
1155;Maleficent: Mistress of Evil;Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.;2019;PG;119;['fantasy', 'family'];['US'];6.6;99344.0
1156;Toy Story 4;"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.";2019;G;100;['fantasy', 'documentation', 'comedy', 'family', 'animation'];['US'];7.7;233342.0
1157;Aladdin;A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.;2019;PG;128;['fantasy', 'action', 'comedy', 'family', 'romance', 'drama'];['US'];6.9;257251.0
1158;The Kid Who Would Be King;Old-school magic meets the modern world when young Alex stumbles upon the mythical sword Excalibur. He soon unites his friends and enemies, and they become knights who join forces with the legendary wizard Merlin. Together, they must save mankind from the wicked enchantress Morgana and her army of supernatural warriors.;2019;PG;120;['fantasy', 'action', 'family'];['GB'];6.1;16454.0
1159;Long Gone Summer;An examination of the 1998 MLB season and the home run race between Mark McGwire and Sammy Sosa. The two sluggers' race to hit the most home runs, later overshadowed by the steroid scandal, left a permanent mark on baseball history.;2020;Unknown;120;['documentation'];['US'];Unknown;Unknown
1160;Mulan;When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.;2020;PG-13;115;['fantasy', 'drama', 'action', 'family'];['US', 'CN'];5.7;141848.0
1162;Togo;The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.;2019;PG;113;['action', 'family', 'european', 'history', 'drama'];['US'];7.9;47061.0
1163;The One and Only Ivan;A gorilla named Ivan who’s living in a suburban shopping mall tries to piece together his past, with the help of other animals, as they hatch a plan to escape from captivity.;2020;PG;93;['comedy', 'drama', 'animation', 'family', 'fantasy'];['US'];6.5;11920.0
1164;Dumbo;A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.;2019;PG;112;['fantasy', 'family'];['GB', 'US'];6.3;73010.0
1165;Frozen II;Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.;2019;PG;103;['comedy', 'fantasy', 'family', 'animation', 'action'];['US'];6.8;164701.0
