;title;description;release_year;age_certification;genres;production_countries;seasons;imdb_score;imdb_votes
4022;Handsome Siblings;The story of twin brothers who separated at birth but grew up to be supreme martial artists. Raised to take revenge on each other they soon find themselves becoming good friends. Together they vow to take the martial arts world by storm and search for their true identities. Jiang Xiao Yu, better known as Xiao Yu Er, was raised by the Ten Great Villains in the Villains' Valley. He think he's the top villain in the jianghu. He's learned many tricks over the years and becomes a mischevious prankster, though his heart is kind. He meets Hua Wu Que, who he doesn't know is actually his twin brother. Hua Wu Que grew up in Yi Hua Palace under the care of Princess Yao Yue. Princess Yao Yue had a one-sided love for his father, Jiang Feng, and wanted to take revenge on him. Thus, she separated the twins at birth and raised them with the hopes they would be enemies and fight each other to death. Separately, Jiang Bie He, who was once the servant to Jiang Feng, teams up with Jiang Yu Lang in a conspiracy that might ruin the entire jianghu. Hua Wu Que and Xiao Yu Er team up together to try and take him down. (Source: Drama Wiki) Edit Translation;2020;Unknown;['comedy', 'drama', 'fantasy', 'romance', 'action'];['CN'];1.0;7.9;629.0
4027;Yanxi Palace: Princess Adventures;A determined Qing dynasty princess contends with palace intrigue and a vendetta against her family while navigating the treacherous terrain of romance.;2019;Unknown;['drama'];['CN'];1.0;Unknown;Unknown
4035;Pinky Malinky;Pinky Malinky sees the bright side of everything, including being born a hot dog. With his BFFs in tow, this little wiener takes a bite out of life.;2019;TV-Y7;['comedy', 'family', 'animation'];['US'];3.0;5.5;1015.0
4038;Twelve Forever;Reggie's dream is to be a kid forever. Her dream is so powerful that it creates its own fantasy world of perpetual youth.;2019;TV-PG;['family', 'fantasy', 'animation', 'action', 'comedy'];['US'];1.0;6.6;682.0
4040;A Little Thing Called First Love;An ordinary girl falls head over heels for the most popular boy in school. Xia Miaomiao is a shy, artistic student who develops a crush on a handsome, talented classmate and embarks on a journey of self-discovery through college. Because of Liang Younian, Xia Miaomiao decides to make a change. Through the help of her friends, she starts to learn about fashion, join school clubs, and studies hard to raise her grades. Her ordinary life becoming more colorful by the day.;2019;Unknown;['comedy', 'drama', 'romance'];['CN'];1.0;7.9;387.0
4041;Flinch;Harrowing and hilarious tests await the brave and foolhardy, as well as the judges, in this comedy game show. If they flinch, they feel the pain.;2019;TV-PG;['reality'];['GB'];1.0;4.3;717.0
4042;My Dear Warrior;Sky is beautiful single female astronomer at a planetarium and has received a gift: a thick wooden-covered book and magic pen from Vanda, her aunt who has been taking care of Sky since childhood and is a crazy writer who is suffering from amnesia.;2019;TV-14;['drama', 'romance', 'fantasy'];['TH'];1.0;4.9;21.0
4043;Nowhere Man;Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one.;2019;TV-MA;['crime', 'action', 'drama', 'thriller'];['TW'];1.0;5.5;371.0
4044;Room 2806: The Accusation;This docuseries follows the 2011 sexual assault case involving French politician Dominique Strauss-Kahn;2020;TV-MA;['documentation', 'crime'];['FR'];1.0;7.0;2327.0
4047;Team Kaylie;A wealthy teenager tries to prove herself after she's forced outside of her comfort zone.;2019;TV-PG;['comedy', 'family'];['US'];3.0;4.1;347.0
4051;How To Ruin Christmas;Prodigal daughter Tumi tries to make things right after completely ruining what should have been her sister's picture-perfect Christmas wedding.;2020;TV-MA;['drama', 'comedy'];['ZA'];2.0;6.0;503.0
4054;Jailbirds;At the Sacramento County Jail, incarcerated women fight the power and one another as they try to make the best of life -- and love -- on the inside.;2019;TV-MA;['reality', 'thriller', 'crime'];['US'];1.0;7.0;1176.0
4072;The Search;When a girl vanishes from a suburb near Mexico City, the personal goals of some involved in the case muddy the search. Based on a true story.;2020;Unknown;['crime', 'drama', 'comedy'];['MX'];1.0;Unknown;Unknown
4073;Rhyme Time Town;Two best friends find fun and adventure while living in Rhyme Time Town, a fantastical place filled with beloved nursery rhyme characters.;2020;TV-Y;['animation', 'comedy', 'family'];['US'];2.0;7.6;78.0
4075;Cagaster of an Insect Cage;Thirty years after a disease that turns the infected into carnivorous insects emerged, a young exterminator and a teenage girl search for her mother.;2020;TV-14;['drama', 'scifi', 'action', 'animation'];['JP'];1.0;Unknown;Unknown
4083;Once Upon a Time in Lingjian Mountain;"A story that follows Wang Lu, a young genius, who enters the Spirit Blade Sect and embarks on an unconventional journey towards immortal cultivation. The Spirit Blade Sect was established in the year 4233. Through years of producing martial arts prodigies, it has been hailed as one of the five great sects. As the nine continents face a crisis, a genius by the name of Wang Lu joins the Spirit Blade Sect and comes under the tutelage Wang Wu. Despite Wang Wu's beauty, she is hundreds of years in age. Famous for having a sharp tongue and an erratic temper, she and her disciple Wang Lu engage in endless squabbles while trudging on a path to becoming the strongest sage in all the lands.  Adapted from the manga ""Spirit Blade Mountain"" written by Xian Man Dong Man.";2019;TV-14;['action', 'scifi', 'comedy', 'drama', 'fantasy', 'romance'];['CN'];2.0;7.4;280.0
4085;Social Distance;Shot in isolation, this tragicomic anthology series features both dark and funny takes on how people strive to stay connected while staying apart.;2020;TV-MA;['drama', 'comedy'];['US'];1.0;5.7;664.0
4086;Say I Do;In this reality show, couples overcome obstacles to celebrate their love in surprise dream weddings designed by three experts in less than a week.;2020;TV-14;['reality'];['GB', 'US'];1.0;7.7;531.0
4089;Bard of Blood;"Political espionage thriller based on ""Bard of Blood,"" by Bilal Siddiqi.";2019;TV-MA;['action', 'drama', 'thriller'];['IN'];2.0;6.8;13005.0
4090;Jinn;The lives of a group of teenagers are disrupted when a spiritual figure appears in front of them in the ancient city of Petra. They must try and stop Jinn from destroying the world.;2019;TV-14;['drama', 'scifi', 'horror', 'fantasy', 'thriller'];['JO'];1.0;3.4;10097.0
4099;Home Game;This docuseries profiles unique and dangerous traditional sports from around the world, as well as the communities and cultures where they thrive.;2020;TV-MA;['documentation', 'sport'];['US'];1.0;7.0;855.0
4104;Go! Go! Cory Carson;Based on the Go. Go. toy line from VTech, children's series follows the adventures of Cory Carson.;2020;TV-Y;['comedy', 'family', 'animation'];['US'];6.0;7.9;242.0
4106;Triad Princess;A woman who grows up in the shadow of her mafia-affiliated father. She defies his wishes and takes a gig as an undercover bodyguard for a famous actress.;2019;Unknown;['drama', 'comedy'];['TW'];1.0;6.7;699.0
4110;ปริศนาล่าข้ามเวลา;Unknown;2019;TV-14;[];['TH'];1.0;Unknown;Unknown
4114;Maradona in Mexico;The Dorados, Culiacan's local team, are at the bottom of the rankings when Maradona arrives, looking for a fresh start. The experts predict disaster.;2019;TV-MA;['documentation', 'sport', 'comedy', 'drama'];['AR', 'PE'];1.0;7.3;1124.0
4122;I Hear You;Bei Er Duo, a girl from an ordinary family, dreams about studying in Japan to be a professional voice actor. However, her mother wants her to marry rich whilst she is young, leading to continuous blind dates which irritate Bei Er Duo. In her desperation to raise funds for studying overseas as well as helping her best friend Tang Li out of a crisis, Bei Er Duo joins a couple reality program, encountering top violin maker Ye Shu Wei.;2019;TV-14;['drama', 'comedy', 'romance'];['CN'];1.0;7.2;601.0
4123;Charlie's Colorforms City;Charlie creates fun stories using different shapes, and he needs your help! Take off for adventures in outer space, the Wild West -- and right at home.;2019;TV-Y;['animation', 'family'];['US'];4.0;6.7;154.0
4124;Kissing Game;"At a high school in a rural, isolated ranching community, families panic when teens contract a mysterious ""kissing disease"" that quickly spreads.";2020;Unknown;['drama', 'thriller'];['BR'];1.0;Unknown;Unknown
4125;Nailed It! Spain;On this competition show, novice bakers try to avoid a fiasco while duplicating stunning sweets. At stake are a trophy and 5,000 euros.;2019;TV-PG;['family', 'reality'];['US'];1.0;Unknown;Unknown
4128;Playing with Fire;Three prosperous women -- including a mother and her daughter -- fall for a seductive man in Colombia's Coffee Triangle.;2019;TV-14;['drama'];['MX'];1.0;5.9;965.0
4129;My Husband Won't Fit;Kumiko and Kenichi meet in college and build a happy marriage together. But over time, an unusual problem threatens to destroy their relationship.;2019;TV-MA;['drama', 'romance'];['JP'];1.0;6.7;818.0
4135;Somewhere Only We Know;Ph.D. candidate in Physics Mu Cheng He catches a third-year student in English Xue Tong cheating on an exam. When he even becomes the substitute teacher in her elective course Russian and makes her study with him after classes, her hatred for him only grows. Over time, however, Xue Tong discovers Teacher Mu’s true character and comes to secretly love him.;2019;TV-MA;['drama', 'romance'];['CN'];1.0;7.2;167.0
4139;Million Dollar Beach House;The competition is fierce — and the drama undeniable — as a group of young and hungry agents try to seal the deal on luxury listings in the Hamptons.;2020;TV-MA;['reality'];['US'];1.0;4.2;816.0
4146;Hyena;To survive in a dog-eat-dog world, two rival lawyers with high-class clientele tear apart anything that stands in the way of their ambitions.;2020;Unknown;['drama', 'crime', 'romance'];['KR'];1.0;7.7;793.0
4147;Stay Tuned!;She's the most unlikely candidate to ever stumble into the role of a reporter, and she’s keeping everyone on their toes with her eccentric ways.;2019;TV-14;['comedy'];['JP'];1.0;7.5;357.0
