;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes
3109;Listening to Kenny G;A humorous but incisive look at the saxophonist Kenny G, the best-selling instrumental artist of all time, and quite possibly one of the most famous living musicians.;2021;Unknown;97;['music', 'documentation'];['US'];7.5;881.0
3111;South ParQ: Vaccination Special;The citizens of South ParQ are clamoring for the COVID-19 vaccine. A hilarious new militant group tries to stop the boys from getting their teacher vaccinated.;2021;R;47;['comedy', 'animation'];['US'];Unknown;Unknown
3114;Beanie Mania;An eye-opening deep-dive into the world of Beanie Babies, charting the origins of a frenzy that helped make Ty Warner’s plush toys the biggest fad of the 1990s.;2021;PG;80;['documentation'];[];6.4;750.0
3119;Mortal Kombat Legends: Battle of the Realms;The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.;2021;R;80;['animation', 'action', 'fantasy'];['US'];6.5;5877.0
3124;TINA;Tina Turner overcame impossible odds to become one of the first female African American artists to reach a mainstream international audience. Her road to superstardom is an undeniable story of triumph over adversity. It’s the ultimate story of survival – and an inspirational story of our times.;2021;R;118;['documentation', 'music', 'history'];['GB', 'US'];7.9;4346.0
3125;Adrienne;As the muse of Hal Hartley’s indie classics and as writer/director of the critically acclaimed Waitress, Adrienne Shelly was a shining star in the indie film firmament. A devoted young mother, her life was right on track until her husband found her dead. Filmmaker Andy Ostroy has been fighting to discover the truth about his wife’s death ever since.;2021;Unknown;98;['documentation'];['US'];7.3;544.0
3128;Boogie;Alfred “Boogie” Chin is a basketball phenom living in Queens, New York, who dreams of one day playing in the NBA. While his parents pressure him to focus on earning a scholarship to an elite college, Boogie must find a way to navigate a new girlfriend, high school, on-court rivals and the burden of expectation.;2021;R;89;['comedy', 'drama', 'sport'];['US'];5.2;1971.0
3130;Marlon Wayans Presents: The Headliners;Taped live at the Belasco Theatre in Los Angeles, this hour-long special features the comedic stylings of multi-hyphenate legend Marlon Wayans and five up-and-coming stand-ups. Serving as emcee, Wayans shines the spotlight on actor D.C. Ervin, social media star Tony Baker, niece and stand-up comic Chaunté Wayans, writer Sydney Castillo, and noted “closer” Esau McGraw.;2022;R;60;['comedy'];[];Unknown;Unknown
3131;Gensan Punch;Nao Tsuyama, a disabled athlete, refuses to let his articifical leg hinder his dream to become a professional boxer. His remarkable journey takes him from Japan to the Philippines, and specifically the celebrated ‘Gensan’ quarter which has spawned worldwide stars such as the legendary Manny Pacquiao.;2021;Unknown;110;['drama'];['JP', 'PH'];5.5;25.0
3132;Love and Baseball;A chance meeting sparks love between Will and Michele, but due to poor timing and the reality of life--they strike out twice. If fate gives them another shot--will they hit or miss?;2021;Unknown;88;['drama', 'romance', 'comedy'];[];6.6;5.0
3133;The Intruder;Inés works as a dubbing actress and sings in a choir in Buenos Aires. While on an idyllic trip she suffers a traumatic episode that she can’t recover from. She has trouble sleeping and experiences very vivid nightmares as strange sounds begin to emerge from inside her. Awake, Inés feels suddenly surrounded by people that seem to come from her dreams.;2021;Unknown;95;['thriller', 'horror'];['AR', 'MX'];6.0;865.0
3135;The Super Bob Einstein Movie;This documentary explores Bob Einstein’s unlikely discovery and enduring career, sharing the many evolving layers of his comedy from the people that knew him best.;2021;R;78;['documentation', 'comedy'];['US'];7.3;748.0
3136;Earwig and the Witch;A headstrong orphan discovers a world of spells and potions while living with a selfish witch.;2021;PG;83;['fantasy', 'animation', 'family'];['JP'];4.8;3998.0
3139;Euphoria: F*ck Anyone Who’s Not A Sea Blob;Over the Christmas holiday, Jules reflects on the year.;2021;R;55;['drama'];['US'];8.8;Unknown
3141;Icahn: The Restless Billionaire;Explore the contradictions at the heart of famed financier Carl Icahn. A polarizing figure described as both an activist investor and a ruthless corporate raider, Icahn rose from modest beginnings in Queens to become one of the richest men in the world, embodying the American Dream. Yet, he openly criticizes corporate excess and the huge wealth inequality gap.;2022;PG-13;102;['documentation'];['US'];7.0;48.0
3144;The Slow Hustle;After Baltimore Police Detective Sean Suiter is shot and found dead while on duty, the tragedy soon becomes enmeshed in a widening corruption scandal that threatens to unravel the public’s already strained relationship with law enforcement.;2021;Unknown;90;['documentation', 'crime'];['US'];6.4;324.0
3147;A Forbidden Orange;Spain, 1970s. A Clockwork Orange, a film considered by critics and audiences as one of the best works in the history of cinema, directed by Stanley Kubrick and released in 1971, was banned by the strict Franco government. However, the film was finally premiered, without going through censorship, during the 20th edition of the Seminci, the Valladolid Film Festival, on April 24, 1975. How was this possible?;2021;R;85;['history', 'documentation'];['ES'];6.3;275.0
3149;Moses Storm: Trash White;Comedian Moses Storm recounts memories of growing up poor, dumpster diving for food, breaking into country clubs, squaring off with carjackers while naked, and more in this hilarious and heartfelt debut standup special.;2022;R;60;['comedy'];['US'];7.4;215.0
