;title;description;release_year;age_certification;genres;production_countries;seasons;imdb_score;imdb_votes
1143;The Owl House;Accidentally sent to the world of the Boiling Isles before a trip to summer camp, a teenage human named Luz longs to become a witch, with the rebellious Eda and pint-sized demon King at her aid.;2020;Unknown;['thriller', 'action', 'comedy', 'family', 'animation', 'fantasy', 'scifi', 'horror', 'drama'];['US'];3.0;8.1;9022.0
1145;Amphibia;The adventures of 13-year-old, self-centered Anne Boonchuy who is magically transported to the fictitious world of Amphibia, a rural marshland full of frog-people. With the help of an excitable young frog named Sprig, Anne will transform into a hero and discover the first true friendship of her life.;2019;TV-Y7;['scifi', 'thriller', 'animation', 'action', 'family', 'comedy', 'drama', 'fantasy'];['US'];3.0;8.1;4675.0
1151;Cosmos: Possible Worlds;"Following the wildly successful ""Cosmos: A Spacetime Odyssey,"" Neil deGrasse Tyson returns as host to translate more revelations of science into a lavish transporting experience, taking audiences on a series of spiritual voyages of exploration. The show reveals previously uncharted realms, including lost worlds, worlds yet to come, and the worlds that humans may one day inhabit. Ann Druyan, original creative collaborator to Carl Sagan, whose iconic docuseries ""Cosmos"" provided inspiration for this series, serves as executive producer alongside Seth MacFarlane.";2020;TV-PG;['documentation', 'drama', 'thriller', 'scifi'];['US'];1.0;9.1;5944.0
1152;Gordon Ramsay: Uncharted;Follow Gordon Ramsay as he meets with indigenous people around the globe to learn about the cultures, dishes and flavors unique to each location. Each episode concludes with Ramsay challenging himself with a local food legend by his side - putting his newfound skills to the test as they cook a feast together for the natives.;2019;TV-14;['documentation', 'reality'];['US'];3.0;7.7;1306.0
1161;The Right Stuff;At the height of the Cold War, newly formed NASA selects seven of the military’s best test pilots to become astronauts. Competing to be the first in space, these men achieve the extraordinary, inspiring the world to turn towards a new horizon of ambition and hope.;2020;TV-14;['drama', 'history'];['US'];1.0;6.7;3684.0
1166;The World According to Jeff Goldblum;Documentary series in which Goldblum pulls back the curtain on a seemingly familiar object to reveal a world of astonishing connections, fascinating science, and a whole lot of big ideas.;2019;TV-PG;['documentation', 'comedy'];['US'];2.0;7.7;2645.0
1170;Lost Treasures of Egypt;An immersive, action-packed and discovery-led series following International teams of Egyptologists as they unearth the world's richest seam of ancient archaeology - Egypt's Valley of the Kings.;2019;TV-PG;['documentation'];['GB'];3.0;Unknown;Unknown
1173;High School Musical: The Musical: The Series;"A group of East High students countdown to the opening night of their school’s first-ever production of “High School Musical.” Showmances blossom; friendships are tested while new ones are made; rivalries flare and lives are changed forever as these young people discover the transformative power that only a high school drama club can provide.";2019;TV-PG;['drama', 'comedy'];['US'];3.0;7.1;6449.0
1174;Lost Treasures of the Maya;Archaeologists search for evidence of the Maya civilisation and what became of it.;2019;TV-14;['documentation', 'history'];['GB'];1.0;6.5;215.0
1177;Life Below Zero: Next Generation;Individuals who have recently left their traditional lifestyle behind face a challenging new world off the grid in the wilds of Alaska.;2020;TV-14;['reality'];['US'];4.0;5.2;214.0
1179;Lost Cities with Albert Lin;Utilizing ground-penetrating radar, LiDar and 3D scanning, Lin will work with boots-on-the-ground archaeologists to discover and re-create unexcavated worlds still hidden beneath the earth.;2019;TV-14;['history', 'documentation'];['US', 'GB'];2.0;7.7;413.0
1180;Disney Gallery / Star Wars: The Mandalorian;Executive producer Jon Favreau invites the cast and crew of The Mandalorian to share an unprecedented look at the making of the series. Each chapter explores a different facet of the first live-action Star Wars television show through interviews, never-before-seen footage, and roundtable conversations hosted by Favreau himself.;2020;TV-PG;['documentation'];['US'];2.0;8.4;2806.0
1182;The Wizard of Paws;Derrick Campana of Bionic Pets makes prosthetics for animals. He has treated over 25,000 animals including dogs, cats, sheep, goat, llama and a few elephants. Each episode tells two of these stories. One is told during a family's appointment at his office. In the second story, he and his dog Henry travel to the home of a different patient where he uses his mobile workshop to help that animal walk again.;2020;Unknown;['family', 'reality'];['US'];2.0;9.4;30.0
1183;The Imagineering Story;Explore the past, present and future of Walt Disney Imagineering with noted filmmaker Leslie Iwerks. Ms. Iwerks comes from a family with deep Disney history — her grandfather was an early Disney animator and her father is a former Imagineer — and her previous work includes profiles of Pixar Animation Studios and visual effects house Industrial Light & Magic.;2019;TV-PG;['documentation'];['US'];1.0;Unknown;Unknown
1184;Heartland Docs, DVM;In picturesque rural Nebraska, the husband and wife veterinary team of Drs. Ben and Erin Schroeder cares for the region's many animals in need.;2020;TV-PG;['reality'];['US'];4.0;8.8;112.0
1186;Marvel 616;An anthology documentary series that explores the historical, cultural and societal impacts of the Marvel Comics Universe and its intersection with the world.;2020;TV-14;['documentation'];['US'];1.0;6.4;590.0
1187;Life Below Zero: Northern Territories;Stories of people, including First Nations people, who live off the grid in remote regions of Northern Canada, and how they spend their day-to-day lives.;2020;Unknown;['action', 'reality'];['US', 'CA'];1.0;8.0;12.0
1188;Hostile Planet;This six part documentary draws attention to the most extraordinary — almost supernatural — accounts of animals that have adapted to the cruelest evolutionary curveballs.;2019;TV-PG;['documentation'];['US'];1.0;8.2;726.0
1191;Critter Fixers: Country Vets;Dr. Hodges and Dr. Ferguson own and operate a bustling veterinary clinic.;2020;TV-14;['family', 'documentation'];['US'];3.0;8.7;137.0
1196;Mira, Royal Detective;A brave and resourceful girl becomes a royal detective in India after solving a mystery that saved the kingdom's young prince.;2020;TV-Y;[];['US'];3.0;Unknown;Unknown
1197;T.O.T.S.;Pip the penguin and Freddy the flamingo become the first non-stork employees for T.O.T.S (Tiny Ones Transport Service) who deliver babies to their parents.;2019;TV-Y;['comedy', 'family', 'music', 'animation'];['PH'];1.0;6.8;366.0
1198;Europe From Above;Using the very latest in drone and aerial photographic technology, tour across countries and their seasons, getting a unique view from above.;2019;Unknown;['documentation'];['GB'];3.0;8.0;286.0
1205;Spaced Out;"It is the year 2149, the human race has taken to the stars where they have encountered The Sovereign; a galactic empire spanning thousands of worlds and hundreds of species, however they have not found it a warm welcome. Looked down upon and mistrusted, humans have to survive any way they can. Kora is an orphan girl getting by in the slums of small industrial planet, but she yearns for adventure and to truly live her life, so she enrolls with the crew of The Renegade, a cargo ship of mercenaries who happily take any job they can, legal or otherwise. Aboard the ship however she discovers that she may in fact hold the key to a long forgotten treasure, which attracts the attention of a powerful enemy.";2019;Unknown;['scifi'];['US'];1.0;Unknown;Unknown
1206;Buried Secrets of The Bible With Albert Lin;Albert Lin investigates two great stories of the Bible: Could real events lie behind the parting of the Red Sea and the destruction of Sodom and Gomorrah?;2019;TV-PG;['documentation', 'history'];['US'];1.0;6.8;188.0
1207;On Pointe;To pursue their dreams, these dancers will have to rise above the barre. Follow the real-life stories of students from the School of American Ballet in this Disney+ Original Documentary Series.;2020;TV-PG;['documentation'];['US'];1.0;7.7;349.0
1208;Walt Disney Animation Studios: Short Circuit Experimental Films;If you could tell any story with the team of talented artists at Walt Disney Animation Studios, what would you create? Welcome to Short Circuit, an experimental, innovative program where anyone at the Studio can pitch an idea and get selected to create their own short film.;2020;TV-PG;['animation', 'comedy', 'family'];['US'];2.0;7.6;480.0
1209;Bia;Bia loves to draw and paint. She and her two best friends spend time at Fundom, a place where they and influencers like to show off their talents. On the other hand, LAIX is a network in which its CEO only wants fame and money.;2019;TV-G;['drama', 'family', 'music', 'romance', 'action', 'comedy'];['BR', 'AR'];4.0;6.7;158.0
1212;Muppets Now;Scooter rushes to make his delivery deadlines and upload the brand-new Muppets series for streaming. They are due now, and he’ll need to navigate whatever obstacles, distractions, and complications the rest of the Muppet gang throw at him.;2020;TV-PG;['comedy', 'family', 'reality'];['US'];1.0;5.9;1135.0
1213;India from Above;In India From Above, cutting-edge aerial footage reveals how India, which is at once both modern and steeped in ancient mysticism, is shaped by its developed and untouched landscapes.;2020;TV-PG;['documentation'];['US'];1.0;Unknown;Unknown
1215;Apollo: Back to the Moon;irected by François Pomès, this two-part documentary chronicles the epic adventure of the Apollo space program, which included both tragic setbacks and historic successes. The first phase takes place against a backdrop of the Cold War, from the disaster of the Apollo 1 mission to the triumph of the Apollo 8 mission. The last stage culminates with the Apollo 11 space flight which landed American astronauts Neil Armstrong and Buzz Aldrin on the Moon. With full-color archival images and 3D reenactments of the mission's key stages, this immersive account details the journey of the men and women who contributed to the celebrated Apollo 11 mission.;2019;Unknown;['documentation'];['FR'];1.0;Unknown;Unknown
1216;Rogue Trip;ABC News Correspondent Bob Woodruff and his 28-year-old son Mack Woodruff take viewers on a father-son adventure to some of the world’s most unexpected places – roguish nations and territories mostly known for conflict, but each possessing a unique power to surprise, amaze and inspire.;2020;Unknown;['documentation'];['US'];1.0;Unknown;Unknown
1218;Inside Pixar;This documentary series of personal and cinematic stories that provide an inside look into the people, artistry, and culture of Pixar Animation Studios.;2020;TV-G;['documentation', 'family'];['US'];4.0;7.3;597.0
1219;Gigantosaurus;Four curious young dinosaur friends explore the mystery of Gigantosaurus, the largest, fiercest dinosaur of all, facing their individual fears and working together to solve problems during their many adventures.;2019;TV-G;['animation'];['FR', 'US'];3.0;6.9;159.0
1220;Pixar in Real Life;This live action series brings iconic characters and moments from Pixar films into the real world. Filmed on location in and around New York City, the series surprises and delights real people in real locations when they least expect it.;2019;TV-G;['reality', 'comedy', 'family'];['US'];1.0;6.5;735.0
1223;Marvel Battleworld: Mystery of the Thanostones;Can Iron Man and this rag-tag group - Captain Marvel, Spider-Ham, Groot, and Throg - figure out what the Mad Titan Thanos wants and why they've been brought to this strange, new world?;2020;Unknown;['action', 'animation'];['US'];1.0;5.9;84.0
1224;Kingdom of the White Wolf;Ronan Donovan, a National Geographic researcher, travels to the Arctic to study wolves.;2019;TV-PG;['documentation'];['US'];1.0;8.1;213.0
1225;101 Dalmatian Street;Follow the adventures of eldest siblings Dolly and Dylan, their Mum Delilah and Dad Doug, and their 97 younger brothers and sisters as they embark on urban adventures and extreme sibling rivalry. Together, the pups explore growing up and finding their own spot inside the biggest, messiest, furriest blended family ever.;2019;TV-Y7;['family', 'animation', 'comedy'];['GB'];1.0;6.1;347.0
