;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes
36;GoodFellas;The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.;1990;R;145;['drama', 'crime'];['US'];8.7;1131681.0
37;Full Metal Jacket;A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.;1987;R;117;['war', 'drama'];['US', 'GB'];8.3;729274.0
38;Once Upon a Time in America;A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.;1984;R;139;['crime', 'drama', 'european'];['US', 'IT'];8.3;345714.0
39;When Harry Met Sally...;During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.;1989;R;96;['comedy', 'romance', 'drama'];['US'];7.7;216199.0
40;A Nightmare on Elm Street;Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...;1984;R;91;['horror'];['GB', 'US'];7.4;234068.0
41;Steel Magnolias;A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.;1989;PG;119;['comedy', 'drama', 'romance'];['US'];7.3;54946.0
42;Police Academy;New rules enforced by the Lady Mayoress mean that sex, weight, height and intelligence need no longer be a factor for joining the Police Force. This opens the floodgates for all and sundry to enter the Police Academy, much to the chagrin of the instructors. Not everyone is there through choice, though. Social misfit Mahoney has been forced to sign up as the only alternative to a jail sentence and it doesn't take long before he falls foul of the boorish Lieutenant Harris. But before long, Mahoney realises that he is enjoying being a police cadet and decides he wants to stay... while Harris decides he wants Mahoney out!;1984;R;97;['crime', 'comedy'];['US'];6.7;124881.0
43;Christine;Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.;1983;R;110;['horror', 'thriller', 'european'];['US'];6.7;81922.0
47;Awakenings;"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.";1990;PG-13;120;['drama', 'european'];['US'];7.8;139240.0
49;National Lampoon's Christmas Vacation;It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.;1989;PG-13;97;['comedy', 'european'];['US'];7.5;185760.0
50;Lean On Me;When principal Joe Clark takes over decaying Eastside High School, he's faced with students wearing gang colors and graffiti-covered walls. Determined to do anything he must to turn the school around, he expels suspected drug dealers, padlocks doors and demands effort and results from students, staff and parents. Autocratic to a fault, this real-life educator put it all on the line.;1989;PG-13;105;['drama'];['US'];7.4;20680.0
51;Eddie Murphy Raw;Eddie Murphy delights, shocks and entertains with dead-on celebrity impersonations, observations on '80s love, sex and marriage, a remembrance of Mom's hamburgers and much more.;1987;R;90;['comedy', 'documentation'];['US'];7.6;19757.0
52;She's Gotta Have It;"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.";1986;R;84;['romance', 'comedy'];['US'];6.7;14472.0
54;Endless Love;Two young kids fall in love with each other. But the passion is too consuming for the parents of Jade. The parents try to stop them from seeing each other. But when this doesn't work, David burns down the house and is sent away. This doesn't stop him from seeing her. When he gets out he goes to look for her. But the passion for his first love is too strong and she has to leave.;1981;R;116;['romance', 'drama'];['US'];4.9;8524.0
56;Vaashi;Ebin Mathew, a budding lawyer ambitiously joins hands with his advocate friend Madhavi Mohan, to share a new office space in order for them to start their independent careers. Their relationship gets strained when they land on opposite ends of a case.;1983;Unknown;123;['drama', 'thriller'];['IN'];6.7;388.0
57;Mobile Suit Gundam: Char's Counterattack;In UC 0093 the Federation has recovered from its defeat and has created a new anti-colonial special forces unit to deal with rebel forces: Londo Bell. Elsewhere in space Char Aznable re-appears out of self imposed hiding with a declaration that he now commands his own Neo-Zeon movementand intends to force the emigration of Earth's inhabitants to space by bringing about an apocalypse.;1988;Unknown;119;['scifi', 'animation', 'action', 'drama', 'war'];['JP'];7.3;1693.0
58;Mobile Suit Gundam II: Soldiers of Sorrow;After managing to survive attacks by Zeon's Char Aznable and Garma Zabi, the crew of Federation warship White Base and its mobile suits must battle Zeon forces through Asia, Europe, and the Atlantic Ocean if they are to reach Earth Federation's headquarters alive. During that process many of its crewmembers must overcome their fears, losses, immaturities, and insecurities in order to survive.;1981;Unknown;133;['animation', 'scifi', 'action', 'drama', 'war'];['JP'];7.2;1274.0
60;Sam Kinison: Breaking the Rules;This is a great performance. Through yelling and energetic story-telling, he talks about marriage, drugs, being arrested (thanks to his ex-wife), pleasing women, religion, and much, much more.;1987;R;50;['comedy', 'documentation'];['US'];7.2;660.0
61;Waiting for the Hearse;Mama Cora, who is almost eighty years old, has three sons and a daughter. She lives with one of them, who has serious financial problems. The family meets one day to celebrate an anniversary meal, and that is when the problem arises: which of them will take care of her?;1985;Unknown;87;['comedy'];['AR'];8.0;6399.0
62;Tim Allen: Men Are Pigs;Comedian Tim Allen shares his enthusiasm for power tools, automobiles, grunting, and the myriad obsessions of the American male in this special for the Showtime premium cable network, which was aired a few years before he rose to stardom with the television sitcom Home Improvement.;1990;Unknown;30;['comedy', 'documentation'];['US'];6.1;360.0
63;Mobile Suit Gundam III: Encounters in Space;Amuro Ray and the rest of the White Base crew, now denominated the 13th Autonomous Corps, return to outer space to support the rest of the Earth Federation forces for the decisive battle against the Duchy of Zeon's forces.;1982;Unknown;144;['action', 'drama', 'war', 'animation', 'scifi'];['JP'];7.6;1236.0
64;Monty Python Live at the Hollywood Bowl;Monty Python perform many of their greatest sketches at the Hollywood Bowl, including several from pre-Python days.;1982;R;81;['comedy', 'documentation'];['GB'];7.9;15230.0
65;Disco Dancer;Anil, a street singer, is humiliated and driven out of Bombay along with his mother. However, he soon becomes a famous performer but the enemies from his past try to destroy his hard-earned career.;1982;Unknown;106;['drama', 'romance'];['IN'];6.4;1476.0
66;Agneepath;The movie depicts the life of a young boy, Vijay (Amitabh Bachchan), whose father gets brutally lynched by a mobster Kancha Cheena. It's a journey of his quest for revenge, which leads him to become a gangster as an adult. Watch out for Amitabh Bachchan in one of the most powerful roles of his career. Will Vijay lose his family in the process of satisfying his vengeance?;1990;Unknown;174;['drama', 'action', 'crime'];['IN'];7.6;8947.0
67;Parrot Sketch Not Included: Twenty Years of Monty Python;"Steve Martin presents selected sketches from ""Monty Python's Flying Circus (1969)"". It's the well known sketches, though the parrot sketch is not included. Steve Martin has some funny comments on the Pythons.";1989;Unknown;72;['comedy'];['GB'];8.1;1522.0
68;Too Young The Hero;TV movie based upon the true story of Calvin Graham, who, as a 12 year old boy, enlisted in the US Navy during WWII.;1988;Unknown;100;['drama', 'war'];['US'];6.7;502.0
69;A Stoning in Fulham County;Religious beliefs clash with the law when an Amish infant is killed in a rural community.;1988;Unknown;120;['thriller', 'crime', 'drama'];['US'];5.9;387.0
70;The Ryan White Story;The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.;1989;Unknown;102;['drama'];['US'];7.2;863.0
