;title;description;release_year;age_certification;runtime;genres;production_countries;imdb_score;imdb_votes;platform
12474;Zach Galifianakis: Live at the Purple Onion;From an inauspicious beginning performing comedy routines in the back of a burger joint in New York, unorthodox stand-up star Zach Galifianakis has made a splash on the scene with his inimitable brand of humor. In this live show filmed at San Francisco's Purple Onion nightclub, the versatile funnyman serves up a healthy dose of his signature wit.;2007;Unknown;61;['comedy', 'documentation'];['US'];7.2;3977.0;Netflix
12461;Tito;Tito is the second installment in the new-wave Egyptian action movies. After Mafia by Sherif Arafa, which was a breakthrough in Egyptian cinema making, Tarek El-Aryan brings us Tito, the next logical step. Very simply, this movie is about an ex-con who tries to escape his sinful life by starting a new one, but his past comes back to haunt him. The reason, why Tito is better than Mafia is because the script and story line in Tito is more complex, and some of the characters had real depth in them and where fully developed throughout the movie.;2004;Unknown;120;['documentation', 'crime', 'drama', 'romance', 'action'];['EG'];7.2;3214.0;Netflix
6638;By the Grace of God;"Alexandre lives in Lyon with his wife and children. One day, he discovered by chance that the priest who abused him to scouts always officiates with children. He then starts a fight, quickly joined by François and Emmanuel, also victims of the priest, to ""release their word"" on what they suffered.";2019;Unknown;137;['drama', 'crime', 'european'];['FR', 'BE'];7.2;6729.0;Amazon Prime
12021;The Suicide Squad;Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.;2021;R;132;['action', 'comedy', 'scifi', 'fantasy'];['US'];7.2;327144.0;HBO Max
12779;Tom Papa: Live in New York City;From the Union Square Theater in New York City, veteran comic Tom Papa discusses a variety of topics, ranging from living with the worst roommates in the world to the difficulties of keeping up with rapidly changing technology.;2011;Unknown;57;['comedy'];['US'];7.2;501.0;Netflix
788;Souls of Sin;Unsuccessful gambler 'Dollar Bill' Burton lives in a crummy New York basement room with old friend Bob and a new roommate, friendly blues singer 'Alabama' Lee. But, tired of being broke, Dollar Bill gets more steady employment...doing illegal errands for gangster Bad Boy George. The now prosperous Bill ignores pretty, adoring Etta and takes up with sultry singer Regina. Will Bill's way of life catch up with him? Will his upright friends be more successful in the end?;1949;Unknown;64;['drama'];['US'];7.2;33.0;Amazon Prime
6256;M;Menahem Lang, an actor with an extraordinary singing voice, returns to Bnei Brak, the city in Israel where he grew up and a center of ultra-orthodox Judaism. Now in his 30s, Lang left the city at 20, following years of rape and sexual abuse by elder, devout family men in the community. Yet, Lang was far from being an isolated case: his conversations with other abused young men document a cycle of sexual predators and tormented lives.;2018;PG;105;['documentation'];['FR', 'IL'];7.2;290.0;Amazon Prime
12476;Inuyasha the Movie: Affections Touching Across Time;InuYasha is a half-demon who was trapped in the Legendary Tree and was set free by Kagome, a girl who traveled 500 years through time. This time, both of them will have to face Menomaru, a Chinese demon whose father, known as Hyoga, came 300 years ago to invade Japan, but was stopped by InuYasha's Father. InuYasha and Kagome, along with Sango, Miroku, Shippou, Kaede and Myoga, will try to stop Menomaru in his becoming the most powerful demon ever.;2001;PG-13;99;['action', 'animation', 'fantasy'];['JP'];7.2;2593.0;Netflix
9237;Toy Story That Time Forgot;During a post-Christmas play date, the gang find themselves in uncharted territory when the coolest set of action figures ever turn out to be dangerously delusional. It's all up to Trixie, the triceratops, if the gang hopes to return to Bonnie's room in this Toy Story That Time Forgot.;2014;G;22;['comedy', 'family', 'fantasy', 'animation'];['US'];7.1;11408.0;Disney+
13003;War Dogs;Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.;2016;R;114;['crime', 'war', 'comedy', 'drama'];['US'];7.1;212032.0;Netflix
